,Amnat.Charoen,Ang.Thong,Bangkok,Buri.Ram,Chachoengsao,Chai.Nat,Chaiyaphum,Chanthaburi,Chiang.Mai,Chiang.Rai,Chon.Buri,Chumphon,Kalasin,Kamphaeng.Phet,Kanchanaburi,Khon.Kaen,Krabi,Lampang,Lamphun,Loei,Lop.Buri,Mae.Hong.Son,Maha.Sarakham,Mukdahan,Nakhon.Nayok,Nakhon.Pathom,Nakhon.Phanom,Nakhon.Ratchasima,Nakhon.Sawan,Nakhon.Si.Thammarat,Nan,Narathiwat,Nong.Bua.Lam.Phu,Nong.Khai,Nonthaburi,Pathum.Thani,Pattani,Phangnga,Phatthalung,Phayao,Phetchabun,Phetchaburi,Phichit,Phitsanulok,P.Nakhon.S.Ayutthaya,Phrae,Phuket,Prachin.Buri,Prachuap.Khiri.Khan,Ranong,Ratchaburi,Rayong,Roi.Et,Sa.Kaeo,Sakon.Nakhon,Samut.Prakan,Samut.Sakhon,Samut.Songkhram,Saraburi,Satun,Si.Sa.Ket,Sing.Buri,Songkhla,Sukhothai,Suphan.Buri,Surat.Thani,Surin,Tak,Trang,Trat,Ubon.Ratchathani,Udon.Thani,Uthai.Thani,Uttaradit,Yala,Yasothon
1,67.06394539,58.06627132,66.78687266,62.73647417,64.18998782,60.98643166,66.05265852,67.62153326,69.06290736,70.98818858,65.7561534,76.78822561,65.42958363,67.62122407,69.33735629,66.01991339,76.68800458,68.82139593,69.33733465,68.91848125,58.44900441,69.02085694,63.72826389,68.5803096,66.81495395,65.19720119,68.42141761,63.62265258,63.21125139,79.45819953,70.85990014,86.78327839,65.88022833,65.40259165,66.73206489,65.95855727,82.86326064,78.08484538,82.59573991,69.70383119,65.70138968,70.45887465,63.96180759,68.37788907,60.93729153,68.71557502,78.5870554,65.68156724,71.96199836,78.75673103,68.49169247,66.41131051,64.36406989,63.01225846,65.93981293,66.98193847,69.38898897,69.75884804,62.17441008,77.44203137,64.32646842,58.03026215,80.87609646,68.28815862,62.40353265,79.38033314,63.26616571,69.55369291,77.57249045,70.42506022,64.75811978,64.3364217,68.2660361,69.43754584,84.25027195,65.48284543
2,64.25221228,62.97267463,73.36452585,59.6844235,72.21065037,59.66367821,63.15261105,76.79324018,61.22911623,61.5436824,74.49547882,74.10649326,61.29671688,61.05815454,65.31235127,61.85188787,70.06206207,59.55430394,60.71251527,63.63483616,60.68612278,62.76892742,59.11554258,65.20557255,71.36550267,69.42583987,66.74595646,62.41552036,60.4134786,73.17727403,62.23205963,83.30165289,62.46937014,63.52238694,71.02767888,70.93792859,77.36658192,72.7858407,79.19908247,60.27167541,65.24927618,71.34899148,62.22229849,65.06813245,66.64570204,59.54055528,74.59091195,71.05255094,74.79851675,73.03499391,69.38682214,76.49079718,60.3169673,68.84209703,63.87509287,74.22652689,74.65847565,72.59374412,66.21012214,73.6122666,62.46031282,60.52814103,75.33937587,59.97332391,62.1440673,72.63849664,60.1215965,62.8553624,72.80480431,77.37298609,62.88736907,61.69089398,62.36893314,63.55145498,78.53578936,62.24164526
3,68.46606643,65.07855802,74.22691183,62.88046753,75.93299723,57.4910723,66.77962405,82.91297103,54.13465249,56.21352735,78.26755902,77.12316751,64.15328827,57.44031377,62.86084054,64.03138092,73.92224487,53.13794012,53.44642845,64.76473962,63.8028877,54.33124385,61.51239849,69.60919793,75.82383277,68.26359582,72.89982758,66.62003279,58.58503361,75.70341091,59.89865305,81.20592077,63.23146263,67.34527231,70.50167323,71.34106355,78.73576912,77.25627634,80.04625538,55.29166871,68.12559107,70.93280353,58.75046942,62.66323747,68.45627658,55.15349866,77.71481569,75.46315625,76.29626287,77.22353713,66.18368467,81.29734282,63.41483997,73.97829245,68.91517452,75.91505445,76.00303728,72.57792313,70.70312396,76.30610917,67.83439288,60.97655775,77.52368191,53.44354413,58.90514621,75.91731599,65.0651856,60.59214828,75.46979149,83.63828644,67.60144023,64.22577885,58.18383175,61.12103811,76.48554807,65.82877785
4,65.27304533,70.31293905,76.47495359,65.44561404,78.03412871,66.96280264,70.96499235,84.82628182,59.82200625,64.19256704,79.94499402,79.36037653,61.04320491,64.59112784,75.42751091,65.79088167,79.88103303,59.38677356,56.98331802,71.14473173,69.70436185,57.76385293,61.03997097,66.34762295,77.09733303,72.22289419,67.5505713,69.93816658,68.00673938,79.15832371,69.33487062,83.30299808,63.28433764,64.74533453,73.53580668,74.51658577,78.86936008,81.26293876,82.92314706,63.3271166,74.37342334,75.14183183,65.72251457,68.1270941,72.57853188,63.19758133,81.02957161,75.75403866,79.52858936,80.32487138,72.15711836,82.9475423,61.79157414,76.5304986,64.01093282,77.46303413,77.19148508,72.34387442,74.58431063,80.67721331,65.71635335,68.21990849,81.63636682,59.14660721,68.61084885,79.38469309,65.85764231,65.93188249,80.94776541,84.53061144,65.79440925,61.38041103,71.74453001,67.80507963,82.42743213,63.21546595
5,77.54216436,78.32386079,79.5050382,79.10921156,82.37846751,78.06078676,80.37838155,86.87755517,83.35726715,80.29776953,82.25091687,84.98784007,74.94343858,81.26600984,84.79977324,77.45474134,84.64039723,82.78568546,82.68304136,79.48262792,78.9940203,84.1076783,75.03216721,76.25514939,83.46621132,79.86741675,74.4065402,79.88493431,79.58929449,83.1436509,82.59074884,84.81818575,75.72813397,74.64967615,79.96192691,80.15193306,83.50532954,83.89304284,84.58148538,80.55530823,82.39780884,83.16086822,79.96108563,82.74010918,79.35771122,83.47474948,82.47636676,83.17835126,84.27718609,86.82729635,82.10566021,84.60028113,75.66571866,84.08997195,72.79414074,79.20606104,79.49834485,79.82383496,80.96751116,83.62438961,80.05169809,77.20316781,83.16448906,81.78015878,78.95837288,84.06946772,80.40907496,86.09512412,84.64542107,86.82349293,81.56650518,73.54410253,81.97322293,83.31138179,84.4796952,76.93503226
6,79.58564616,72.28780129,74.32453453,76.59858543,82.86146554,68.80305027,76.33923297,87.06460013,81.40682927,78.71553042,81.43949885,83.70049263,78.72509737,79.37083021,81.15654815,74.90196028,83.67921346,80.69659022,79.60756785,76.60311477,73.60751768,84.40360893,76.88329107,81.12606426,83.41985932,74.03537026,83.53777127,76.2980073,74.25068634,82.56074485,80.28638078,84.83694289,74.80755934,81.54453279,74.93216899,76.35210677,83.48722548,82.43478487,84.15650782,78.46390788,79.66641719,78.6920471,78.72824332,81.80987197,74.37993535,82.68596453,80.52608059,84.5104598,82.34415599,85.71886298,76.80755941,84.60161827,78.01805343,82.97744834,81.25473809,74.50778161,75.77772158,75.97156934,76.60652716,80.9142427,76.96121838,69.95037758,82.15213932,78.68917526,71.37171421,83.23061838,76.71121647,85.09497516,83.17864364,86.47104448,80.69411746,78.23856587,76.2519435,81.13431894,84.19133588,78.97727842
7,81.33123636,74.13906008,77.02416119,74.93328625,82.9531122,71.03863966,76.66805915,87.21945018,81.81768775,80.17438687,81.50925775,85.99541635,76.1651424,79.95953262,84.73545296,72.10372383,84.30302146,80.41528608,78.13712648,73.14504985,75.94388419,85.93652594,72.73335713,81.34307957,83.85405026,75.37450264,85.00371524,75.96172369,75.20072982,83.12737889,82.7317044,83.53058079,69.32142586,81.62306387,77.41957727,78.23943066,82.23876338,83.29752719,83.87593746,80.00077951,80.59040766,81.86576929,79.72855926,82.54063793,76.25397169,83.10222043,81.39657077,84.59985514,85.27370295,87.84718591,79.91004095,83.88882109,75.73348009,84.60010558,82.0099351,76.72194664,75.39308851,75.73994967,78.83061862,82.12506634,80.70874988,71.91967542,81.38803682,78.53550755,74.1704689,84.41199618,77.88819253,87.21215513,84.02646169,87.5137919,84.26328207,76.55678075,77.53240393,82.10177588,80.88756676,78.81357594
8,85.58044182,71.63151172,73.24500232,78.85230323,81.5344668,71.21593173,80.40783256,86.39444232,83.09503324,83.08601667,79.47045824,84.13896754,82.59097656,80.11402356,83.03780784,78.70793873,82.96585535,81.78996762,79.11187649,80.88054535,77.34163271,86.41789233,79.00466076,85.75531951,83.21621244,70.04835089,87.84110139,78.95429038,76.54728915,80.39920682,85.00883386,80.58916997,80.14511977,85.04448026,72.50031143,74.71428868,77.59797093,82.82066814,82.20979715,82.80102594,83.46844414,78.10730539,81.90571168,83.19862715,73.14329543,84.210078,80.59748581,84.37065071,83.98806982,86.63518557,75.58784888,81.80525171,81.57422231,83.72705527,85.73923919,73.68809933,71.86488035,69.15682815,78.51947165,81.16916951,83.5241734,71.01986133,79.64122055,78.32943236,71.5307197,82.17826314,81.56969935,86.43305225,82.52071823,87.23722936,86.54785837,83.00977793,77.14023267,83.36810932,78.4260639,83.72923334
9,84.30690982,79.74895163,78.2215674,82.09726767,83.61427077,80.1825206,83.14052899,87.6669741,84.4787239,82.92526418,82.08920734,86.13079367,83.22035281,83.24257986,86.3072651,82.52266545,84.57233235,84.30180861,82.9692091,83.89347182,81.5100461,86.14342917,82.19429363,84.95385223,85.0941149,78.46601155,85.77179326,82.1578569,82.52348736,82.92691536,85.52208059,83.27766604,83.32636104,84.84323407,79.15702998,80.34799214,81.07546273,83.89918546,84.16410663,82.79386502,84.73547681,83.61578204,83.16415553,85.01131819,80.02527825,85.52023963,81.92911008,85.55408542,84.57430831,88.14225977,82.64145735,84.59164693,82.8085794,85.42414377,84.16798259,78.13094598,79.31194959,79.28054762,82.31208216,82.65738674,83.50705662,79.55050359,82.12282588,83.48779305,79.52763975,84.65092117,83.06033834,87.75649676,84.36644385,87.34269737,85.02657281,83.60656131,84.01617646,85.58872097,82.00883949,83.48625184
10,82.46439996,74.4863639,77.49083258,80.58040254,80.11500903,78.55039782,81.3668174,84.37652478,85.29714242,83.39911741,79.65461436,87.28975901,79.82801741,82.85638343,83.22155921,80.8683976,86.9533938,84.55513223,84.1676876,82.14449027,78.28262124,86.46097748,79.74183282,81.80909938,81.6746748,74.5419571,82.00306531,80.69407369,81.25796456,86.29813931,85.55457768,87.60405058,80.1300664,79.92418119,76.54929355,77.34724896,86.28279156,84.72797483,87.6478103,83.67111699,81.93899578,82.19312555,81.74859686,82.84160892,75.16436428,84.71633241,82.95439249,81.49031635,84.83718492,88.52094542,79.26550065,81.44368114,79.95178637,82.56144086,80.16767411,77.37408395,76.31151296,76.94460927,78.61276923,84.95482625,82.46670633,75.96650615,85.58176494,82.9873835,75.40990059,87.17082632,81.59111257,85.77398085,87.18394169,84.75760507,84.0504366,79.26016397,83.18090036,83.83123174,87.30142669,81.06085646
11,73.46865216,61.21677313,67.44102,72.0418375,70.25850679,72.93663129,73.96413484,76.91428852,81.38502263,78.48375321,70.55250967,82.70167671,69.51642786,79.85266613,76.06743959,72.73323858,84.58164501,79.24115697,81.07320504,75.06535777,67.54057474,82.25141308,70.1900486,71.9283414,70.97822633,64.86382519,71.39699363,72.11293098,76.78769856,85.38738852,77.81268645,87.31154415,71.76842544,68.31444932,66.72764112,66.59510582,86.51568533,81.26422677,86.38954776,78.62075579,72.83014361,75.09319491,76.13979927,74.08348405,61.97086869,76.4643724,80.41549841,71.08207514,78.81497168,84.06725685,70.23786643,73.23665061,69.81122821,72.7784098,67.94046388,67.24307018,67.65014836,67.69236648,66.6261225,82.61532674,75.67900036,66.47192713,84.77471755,76.9233254,65.6949492,84.96358159,73.50280974,79.06180435,84.63176689,77.05802962,77.63893316,67.42996009,80.63764411,73.88548942,87.93396574,71.49610263
12,70.72870795,59.1747933,68.06255627,68.33527143,69.0456633,66.51594547,71.8734503,73.64966622,75.00227212,74.7673456,69.34674042,77.10650712,68.88900527,74.96837696,72.07573145,71.04619996,78.95153783,74.21295725,74.25903611,74.87916834,65.288775,75.29007686,67.72019079,71.31994082,69.48361767,62.89494865,73.05725104,69.09952876,71.12023782,80.83736528,75.43887166,87.91674941,73.17777045,72.3035876,66.83891718,66.60600269,84.49069923,75.86003142,83.45817805,73.93749497,72.15786777,70.89608395,71.28197985,73.68947177,60.7897678,73.19587842,76.7378901,69.53305656,74.14794788,77.55035785,67.1428278,71.37915235,67.58478477,68.13922987,70.77273303,68.1052387,67.46373458,66.87636102,65.07628303,78.69185045,71.91084924,62.5048906,82.03280684,73.47495407,61.95803777,79.26090881,70.02235758,74.34307139,79.31258844,72.4957936,72.74012622,70.89506957,74.26857452,74.51238286,86.30313568,69.10658274
