,Amnat.Charoen,Ang.Thong,Bangkok,Buri.Ram,Chachoengsao,Chai.Nat,Chaiyaphum,Chanthaburi,Chiang.Mai,Chiang.Rai,Chon.Buri,Chumphon,Kalasin,Kamphaeng.Phet,Kanchanaburi,Khon.Kaen,Krabi,Lampang,Lamphun,Loei,Lop.Buri,Mae.Hong.Son,Maha.Sarakham,Mukdahan,Nakhon.Nayok,Nakhon.Pathom,Nakhon.Phanom,Nakhon.Ratchasima,Nakhon.Sawan,Nakhon.Si.Thammarat,Nan,Narathiwat,Nong.Bua.Lam.Phu,Nong.Khai,Nonthaburi,Pathum.Thani,Pattani,Phangnga,Phatthalung,Phayao,Phetchabun,Phetchaburi,Phichit,Phitsanulok,P.Nakhon.S.Ayutthaya,Phrae,Phuket,Prachin.Buri,Prachuap.Khiri.Khan,Ranong,Ratchaburi,Rayong,Roi.Et,Sa.Kaeo,Sakon.Nakhon,Samut.Prakan,Samut.Sakhon,Samut.Songkhram,Saraburi,Satun,Si.Sa.Ket,Sing.Buri,Songkhla,Sukhothai,Suphan.Buri,Surat.Thani,Surin,Tak,Trang,Trat,Ubon.Ratchathani,Udon.Thani,Uthai.Thani,Uttaradit,Yala,Yasothon
1,5.61E-07,6.27E-06,1.53E-05,2.71E-06,1.14E-05,6.25E-06,2.83E-06,1.46E-05,4.07E-06,6.78E-06,1.84E-05,5.27E-05,4.56E-07,1.50E-06,1.37E-05,1.67E-06,5.03E-05,4.47E-06,3.95E-06,1.53E-06,4.59E-06,9.75E-07,1.90E-06,6.27E-07,9.24E-06,1.98E-05,9.63E-08,4.22E-06,3.50E-06,0.000102066,3.43E-06,0.000561518,5.03E-07,3.17E-07,9.28E-06,1.07E-05,0.000295171,4.80E-05,0.000179084,4.76E-06,3.77E-06,3.13E-05,1.76E-06,3.93E-06,7.96E-06,3.44E-06,4.95E-05,6.08E-06,2.62E-05,6.02E-05,2.99E-05,1.96E-05,9.25E-07,6.16E-06,9.20E-08,1.59E-05,1.89E-05,2.61E-05,7.04E-06,0.000115427,1.71E-06,6.43E-06,0.000201401,2.34E-06,1.15E-05,7.47E-05,2.95E-06,2.62E-06,7.76E-05,3.09E-05,1.13E-06,2.20E-07,5.24E-06,2.38E-06,0.000290191,7.43E-07
2,2.55E-05,1.92E-06,3.89E-06,2.23E-05,1.40E-05,6.90E-06,1.38E-05,7.60E-05,1.04E-06,2.26E-06,2.68E-05,1.26E-05,2.13E-05,6.53E-07,1.51E-06,1.60E-05,1.10E-05,6.58E-07,1.22E-07,8.63E-06,7.78E-06,1.53E-06,2.37E-05,1.21E-05,8.49E-06,2.48E-06,1.51E-05,1.11E-05,5.79E-06,1.55E-05,3.40E-06,4.96E-05,1.07E-05,2.87E-05,2.53E-06,3.60E-06,2.59E-05,1.20E-05,3.56E-05,3.01E-06,1.53E-05,7.32E-06,8.41E-06,7.69E-06,2.05E-06,6.58E-07,2.58E-05,6.44E-06,1.63E-05,1.69E-05,3.07E-06,6.02E-05,2.64E-05,1.65E-05,1.99E-05,3.45E-06,2.35E-06,1.19E-06,5.38E-06,4.12E-05,5.05E-05,4.41E-06,2.53E-05,5.35E-07,2.89E-06,1.58E-05,5.18E-05,5.59E-07,1.69E-05,8.31E-05,2.60E-05,1.87E-05,2.44E-06,1.30E-06,3.32E-05,2.44E-05
3,7.13E-05,3.46E-05,5.86E-05,5.09E-05,8.35E-05,4.59E-05,2.53E-05,0.000145638,9.25E-06,7.82E-06,6.80E-05,8.56E-05,4.25E-05,1.82E-05,2.31E-05,2.29E-05,0.000123649,1.25E-05,6.61E-06,1.19E-05,2.01E-05,6.70E-06,3.35E-05,0.000100025,2.29E-05,4.18E-05,8.23E-05,4.95E-05,2.08E-05,0.000111577,6.03E-06,0.000123687,1.92E-05,2.50E-05,3.68E-05,2.96E-05,9.90E-05,0.000138391,0.000138757,9.76E-06,2.20E-05,3.10E-05,1.46E-05,1.63E-05,2.55E-05,6.72E-06,0.000105554,3.56E-05,4.56E-05,0.000122074,2.14E-05,6.32E-05,4.58E-05,6.66E-05,6.64E-05,5.99E-05,5.90E-05,3.46E-05,2.66E-05,0.000131607,8.16E-05,5.69E-05,0.000126789,2.31E-05,4.02E-05,0.000114507,6.84E-05,1.58E-05,0.000113321,0.000222258,6.78E-05,2.53E-05,3.18E-05,5.89E-06,0.00013541,4.58E-05
4,4.69E-05,0.000148092,0.000165306,8.80E-05,0.000168997,0.000262437,9.27E-05,0.000204334,6.92E-05,0.000157319,0.000201358,0.000260703,5.00E-05,9.93E-05,0.000182403,6.36E-05,0.000220957,8.79E-05,2.65E-05,0.000118253,0.000160411,4.00E-05,4.10E-05,4.57E-05,0.000236028,0.000197184,7.31E-05,0.000135109,0.00019222,0.000261763,0.000117061,0.000132964,5.19E-05,5.45E-05,0.000160628,0.000188327,0.000110947,0.000288078,0.000291788,0.00016915,0.000151834,0.000209405,0.000129116,0.000182103,0.000149375,9.78E-05,0.000246836,0.000140525,0.000223239,0.000257795,0.000205954,0.000241474,4.50E-05,0.000170785,9.62E-05,0.00016208,0.000213234,0.000199849,0.00019607,0.000282381,0.000106584,0.000188855,0.000225429,9.78E-05,0.000201898,0.000255547,0.000101744,6.09E-05,0.000256376,0.000263001,9.32E-05,6.33E-05,0.000205859,0.000112864,0.000187785,4.99E-05
5,0.000291335,0.000222901,0.000325223,0.00031505,0.000360318,0.000222429,0.000327473,0.000524821,0.000484599,0.000359619,0.000359048,0.000408305,0.000244219,0.000479173,0.00039714,0.000286462,0.000431573,0.000485544,0.000498924,0.00025782,0.000308039,0.000528007,0.000300129,0.000266762,0.000377714,0.000306895,0.000250505,0.000318383,0.000339522,0.000249163,0.000417927,0.000231598,0.00025297,0.000294135,0.000214965,0.000244739,0.000182847,0.00046139,0.000270538,0.000348845,0.000339534,0.000394659,0.000383047,0.000483496,0.000236705,0.000499005,0.00036149,0.000314048,0.000417916,0.000558061,0.000357672,0.000427245,0.000355628,0.000300522,0.00024475,0.000354533,0.000360833,0.000360656,0.000312145,0.000377499,0.000334505,0.000221895,0.000245238,0.000602098,0.000267929,0.000333331,0.000308,0.000615726,0.000382894,0.000644468,0.00034428,0.000260407,0.000337623,0.000485181,0.000181768,0.000333034
6,0.000274251,0.000290665,0.000222521,0.000191371,0.000269571,0.000193777,0.00018086,0.000405712,0.000247281,0.000253737,0.000284663,0.000303251,0.00020456,0.000322245,0.000295006,0.000188478,0.000379599,0.000224461,0.000219407,0.000180643,0.000224998,0.000269267,0.000269305,0.00022599,0.000351091,0.000196145,0.000388791,0.000206402,0.000257294,0.000254653,0.000290136,0.000171693,0.000179518,0.000353352,0.000268065,0.000276971,0.000164813,0.000395553,0.000284302,0.000214491,0.000245219,0.000145332,0.000345322,0.000325468,0.000279323,0.000252906,0.000313202,0.000281869,0.000223143,0.000453676,0.000140522,0.000373252,0.00024495,0.000197532,0.00035955,0.000208867,0.000143046,0.00010489,0.000289364,0.000345662,0.00017674,0.000289715,0.000249204,0.000267965,0.000222345,0.000282392,0.000146073,0.000443972,0.000362449,0.000573409,0.000213098,0.000261867,0.000230074,0.000265351,0.00023133,0.000243733
7,0.000186259,0.00013197,0.00017034,0.000136988,0.000270151,0.000134768,0.000196077,0.000407096,0.000245973,0.000296665,0.000206851,0.000344583,0.000140113,0.000186225,0.000491197,0.000129796,0.000393676,0.000174905,0.000139648,0.000108439,0.000179248,0.000394977,0.000171611,0.000144341,0.000284029,0.000117233,0.000293421,0.00015636,0.0001802,0.000228398,0.000365274,0.000162326,9.58E-05,0.000281534,0.000161034,0.000169519,0.000161138,0.000444287,0.000239596,0.000243901,0.000283208,0.000225777,0.000241156,0.000334879,0.000145882,0.000241233,0.000427091,0.000294174,0.000256239,0.00056262,0.000159765,0.000251251,0.000165008,0.000226316,0.000230983,0.00015525,9.73E-05,7.20E-05,0.000181788,0.000460111,0.00022976,0.000144836,0.000191023,0.000188406,0.000126639,0.000287941,0.000144019,0.00068941,0.000408641,0.000830014,0.000280952,0.000165217,0.000185611,0.000262124,0.000162384,0.000163981
8,0.000694532,0.000330737,0.000135989,0.000325317,0.000251418,0.000347928,0.000337438,0.000449625,0.000369402,0.000448054,0.000185578,0.00025607,0.000395952,0.000326736,0.000502214,0.000351761,0.000350415,0.000336288,0.000280345,0.000387796,0.000339396,0.000492078,0.000360238,0.000547895,0.000455831,0.000156945,0.000669458,0.000324581,0.000365893,0.000145416,0.000507825,0.000134339,0.000435138,0.000544314,0.000199526,0.000227754,0.000107415,0.000363584,0.000196882,0.000406263,0.000460442,0.000179763,0.000463973,0.000532207,0.000275254,0.000438237,0.000314171,0.000416004,0.000210718,0.000448019,0.000158939,0.000234749,0.000411673,0.000332194,0.000636752,0.000122603,0.00010043,7.50E-05,0.000343133,0.000481021,0.000443067,0.000364668,0.000151682,0.000250383,0.000259783,0.000193147,0.000392721,0.000791227,0.000404762,0.000665503,0.000612575,0.000531555,0.000398397,0.000471588,9.16E-05,0.000547301
9,0.00027386,0.000332204,0.00028924,0.000286465,0.000386421,0.000343537,0.000370355,0.000418065,0.00030774,0.000362992,0.000365639,0.000410247,0.000337912,0.000415697,0.000431903,0.000337261,0.000384605,0.000316936,0.000280213,0.000346403,0.000397505,0.000309057,0.000324868,0.000275148,0.000473722,0.000249976,0.000425726,0.000327096,0.000399477,0.000220256,0.000411045,0.000145708,0.000379439,0.000419388,0.000296857,0.000350858,0.00014091,0.000492457,0.000320173,0.000331216,0.000395662,0.00025427,0.000489628,0.000462967,0.000333977,0.000356116,0.000352423,0.000378749,0.000314581,0.000659156,0.000231987,0.000455754,0.000317816,0.00027615,0.000443374,0.000268398,0.00024838,0.000198892,0.000424827,0.00045657,0.00026535,0.000350151,0.000239961,0.000353473,0.000253035,0.000354954,0.000273888,0.000491467,0.000420209,0.000545311,0.000289733,0.000398406,0.000349238,0.000392673,0.000246774,0.000290009
10,0.00046458,0.000175995,0.000178085,0.000264471,0.000280626,0.000228842,0.000307449,0.000310366,0.000310278,0.000333207,0.000248062,0.000629093,0.000377678,0.000315691,0.000333851,0.000332965,0.000710284,0.000282471,0.000258519,0.000355558,0.000275887,0.00031602,0.000350049,0.000466802,0.00041493,0.000253952,0.000415819,0.000269624,0.00030131,0.000601933,0.000354017,0.000485958,0.000340781,0.000280533,0.000222479,0.00022142,0.000500968,0.000703429,0.00065315,0.000314328,0.000361499,0.00022643,0.00039826,0.00035517,0.000197195,0.000282873,0.000618262,0.000379205,0.000419302,0.000756317,0.000211179,0.000301026,0.000374079,0.000265553,0.000361331,0.000159894,0.000192454,0.000220984,0.000285714,0.000614408,0.000369523,0.000202342,0.000548382,0.000308424,0.000195235,0.00066278,0.000342915,0.000408622,0.000678495,0.000477765,0.00037746,0.000324106,0.00029759,0.000323907,0.000513629,0.000406712
11,9.94E-05,3.61E-05,6.38E-05,8.69E-05,6.17E-05,4.03E-05,4.66E-05,8.55E-05,6.73E-05,5.51E-05,7.23E-05,0.000346521,5.05E-05,3.24E-05,4.71E-05,4.71E-05,0.000314799,6.01E-05,8.30E-05,2.00E-05,3.66E-05,8.99E-05,7.34E-05,7.63E-05,3.01E-05,9.53E-05,6.55E-05,6.19E-05,4.73E-05,0.000642294,2.91E-05,0.000376116,5.11E-05,3.05E-05,5.30E-05,3.44E-05,0.000342241,0.000285476,0.000542246,4.43E-05,3.27E-05,9.90E-05,3.13E-05,1.64E-05,3.25E-05,3.20E-05,0.000243408,3.36E-05,0.000214647,0.00030712,0.000106323,7.81E-05,7.38E-05,8.25E-05,4.58E-05,6.76E-05,0.000119968,0.000124973,3.00E-05,0.000330748,0.00015418,3.56E-05,0.000419992,3.75E-05,3.25E-05,0.00055082,0.000113719,4.68E-05,0.000366218,6.06E-05,0.000160822,4.00E-05,4.90E-05,1.49E-05,0.00039732,8.60E-05
12,5.46E-07,2.06E-06,4.38E-07,4.43E-07,3.75E-07,1.30E-06,1.07E-06,6.43E-07,1.61E-06,2.09E-06,6.91E-07,3.84E-05,8.80E-07,9.94E-07,1.56E-06,1.36E-06,4.55E-05,1.32E-06,1.27E-06,3.81E-06,9.53E-07,1.51E-06,1.58E-07,7.19E-07,1.25E-06,3.73E-06,2.16E-06,7.61E-07,1.23E-06,0.000123639,3.96E-06,0.000428078,2.51E-06,1.93E-06,3.12E-07,3.48E-07,0.000285164,4.32E-05,0.000201377,2.22E-06,1.82E-06,1.23E-06,7.40E-07,2.59E-06,1.09E-06,1.02E-06,0.000106872,3.92E-07,8.53E-06,2.30E-05,2.60E-06,5.28E-07,2.53E-07,5.66E-07,1.41E-06,5.26E-07,1.19E-06,8.14E-07,1.53E-06,6.91E-05,1.08E-06,2.19E-06,0.000241226,8.97E-07,2.46E-06,6.63E-05,5.92E-07,8.99E-07,6.24E-05,3.87E-06,8.81E-07,1.46E-06,1.61E-06,2.25E-06,0.000176141,5.00E-07
