"","X","Chiang.Mai","Chiang.Rai","Lampang","Lamphun","Mae.Hong.Son","Nan","Phayao","Phrae","Phetchabun","Phitsanulok","Sukhothai","Tak","Uttaradit","Kamphaeng.Phet","Nakhon.Sawan","Phichit","Uthai.Thani","Bangkok","Ang.Thong","Nonthaburi","P.Nakhon.S.Ayutthaya","Pathum.Thani","Chai.Nat","Lop.Buri","Saraburi","Sing.Buri","Kanchanaburi","Nakhon.Pathom","Ratchaburi","Suphan.Buri","Phetchaburi","Prachuap.Khiri.Khan","Samut.Sakhon","Samut.Songkhram","Chachoengsao","Nakhon.Nayok","Prachin.Buri","Sa.Kaeo","Samut.Prakan","Chanthaburi","Chon.Buri","Rayong","Trat","Loei","Nong.Bua.Lam.Phu","Nong.Khai","Udon.Thani","Kalasin","Mukdahan","Nakhon.Phanom","Sakon.Nakhon","Khon.Kaen","Maha.Sarakham","Roi.Et","Buri.Ram","Chaiyaphum","Nakhon.Ratchasima","Surin","Amnat.Charoen","Si.Sa.Ket","Ubon.Ratchathani","Yasothon","Chumphon","Ranong","Surat.Thani","Nakhon.Si.Thammarat","Phatthalung","Trang","Krabi","Phangnga","Phuket","Narathiwat","Pattani","Yala","Satun","Songkhla","Bungkan"
"1",1,0,0,1,0,0,0,0,2,7,3,2,1,3,5,7,3,5,73,3,20,6,1,0,4,1,1,4,8,18,9,4,4,44,3,7,5,6,9,35,8,0,6,6,2,3,1,0,27,3,0,2,16,0,4,4,8,12,36,0,2,3,1,18,8,27,40,7,2,6,2,1,20,7,26,3,63,NA
"2",2,3,0,4,1,0,1,0,0,1,1,1,6,1,11,15,0,1,31,0,19,8,2,1,3,10,1,4,11,3,3,0,2,26,1,2,3,6,6,13,11,0,10,8,0,0,1,2,13,2,1,4,6,2,14,2,14,7,35,1,6,3,1,9,3,17,26,2,3,8,2,3,13,9,17,0,50,NA
"3",3,1,0,2,1,0,2,0,6,7,1,2,5,4,16,12,2,1,70,1,38,3,4,10,5,9,0,3,14,20,6,1,11,21,2,2,4,12,24,23,13,3,5,13,2,0,0,7,35,7,3,13,13,2,41,5,19,4,83,1,29,8,5,20,8,30,22,13,1,8,2,2,12,14,12,0,43,NA
"4",4,5,2,8,2,0,3,0,13,5,13,6,8,8,22,6,6,9,43,1,16,3,1,6,2,3,0,13,9,13,13,0,11,21,3,4,8,15,28,21,47,0,11,13,5,0,4,1,38,15,21,13,20,11,44,29,14,7,81,14,39,14,7,44,9,42,40,8,9,20,6,0,16,18,13,2,53,NA
"5",5,11,124,29,11,9,3,5,33,30,25,26,10,30,30,34,8,5,74,5,30,10,12,13,2,4,0,39,15,34,12,14,26,15,5,14,52,67,25,30,79,3,41,9,39,8,23,13,59,22,15,30,43,57,105,46,46,33,225,9,123,20,22,116,3,129,107,18,26,27,12,9,27,33,36,21,100,NA
"6",6,50,231,55,24,36,12,15,93,80,34,24,49,38,68,94,33,23,99,10,85,11,29,12,15,24,0,61,41,106,15,26,84,41,15,50,83,113,35,74,135,8,100,18,81,12,45,31,132,42,10,128,80,84,222,129,91,134,293,28,333,49,36,146,11,69,138,57,12,69,8,8,80,44,84,22,123,NA
"7",7,82,49,27,70,63,8,4,41,61,43,8,76,34,52,106,49,16,94,23,87,16,18,16,21,23,0,61,33,97,14,33,65,57,15,31,41,75,27,70,78,10,86,7,54,10,29,23,156,45,2,110,78,52,151,76,68,78,191,48,173,21,17,115,18,0,105,73,10,66,3,7,119,14,62,29,75,NA
"8",8,82,27,12,38,19,2,5,18,36,37,12,30,24,53,77,23,18,113,17,123,20,40,22,34,25,0,46,51,118,26,17,67,44,18,37,53,76,6,108,87,6,100,10,25,17,5,20,159,44,2,58,57,75,132,62,58,43,128,40,103,9,8,77,6,0,48,27,6,44,4,10,73,14,43,10,65,NA
"9",9,47,19,5,35,6,3,1,7,18,39,4,27,17,28,65,20,15,120,22,108,26,50,11,29,18,1,39,72,92,20,19,53,48,16,12,21,39,8,70,41,1,48,4,10,16,11,9,119,14,0,34,66,44,134,40,75,103,101,18,71,2,6,82,8,0,38,27,4,35,1,11,102,10,37,10,40,NA
"10",10,29,8,1,16,8,2,1,7,17,28,1,30,9,21,64,33,4,141,17,83,27,34,12,30,15,1,50,56,86,39,14,32,55,16,7,33,35,5,61,49,2,52,18,9,3,5,5,93,11,0,15,22,26,62,28,49,44,54,8,58,0,0,41,1,0,26,19,9,18,5,3,74,13,27,10,35,NA
"11",11,28,4,5,21,6,0,0,3,8,16,3,26,6,18,64,35,3,148,38,71,22,36,16,23,14,3,19,52,64,22,11,41,43,11,21,14,25,4,86,45,1,49,5,2,2,4,3,48,3,0,3,13,9,30,23,16,23,44,0,30,0,0,26,6,0,42,28,8,23,4,2,48,28,27,15,39,NA
"12",12,6,2,3,4,0,2,0,1,7,11,0,2,3,20,46,17,7,52,56,43,11,15,23,30,9,3,16,34,46,7,12,25,33,16,8,16,21,1,45,19,0,26,11,3,0,0,2,33,14,0,3,7,11,4,8,19,3,19,0,15,2,0,25,1,0,36,30,2,17,3,7,16,28,26,4,22,NA
"13",13,12,0,1,1,1,1,0,2,2,6,0,10,6,15,46,19,6,122,35,31,15,21,20,17,8,6,13,28,56,43,23,35,56,5,13,24,29,6,34,22,10,26,5,1,0,0,1,20,8,1,0,10,4,10,9,11,16,35,2,4,6,1,17,8,2,58,24,0,27,3,8,27,22,23,9,49,NA
"14",14,10,1,4,1,0,0,0,5,6,13,0,5,2,28,78,15,18,107,43,33,23,31,7,26,13,3,24,26,62,47,16,29,39,2,13,13,32,13,31,20,1,15,11,0,0,1,0,14,4,1,3,3,3,9,9,11,14,17,1,14,2,0,32,1,4,65,15,3,33,3,4,24,7,7,14,26,NA
"15",15,18,0,7,0,1,2,2,11,19,24,1,19,12,31,89,12,17,102,50,36,2,39,20,34,6,6,32,21,99,18,21,49,33,3,21,23,28,16,29,33,5,40,14,3,2,0,0,11,0,0,3,4,5,12,10,23,13,35,1,41,9,2,32,3,5,54,19,2,54,2,3,10,8,6,15,18,NA
"16",16,38,3,15,0,6,2,15,19,17,26,3,14,20,26,57,18,28,91,22,45,1,45,11,28,13,3,32,33,99,24,16,80,28,4,14,11,51,14,31,56,13,52,35,11,1,2,1,7,5,6,4,20,8,30,12,21,18,35,19,45,3,2,34,2,14,35,25,8,57,3,4,5,11,14,40,33,NA
"17",17,126,52,41,14,19,23,21,47,100,80,13,24,56,70,83,29,45,115,30,36,5,43,33,57,34,1,63,41,219,12,49,104,46,2,31,19,89,61,54,101,39,108,48,37,9,9,6,12,6,15,13,33,43,83,64,85,84,82,43,92,14,8,58,6,35,117,50,20,81,7,19,22,24,16,67,79,NA
"18",18,316,66,194,19,53,56,22,76,164,119,34,92,94,98,155,71,44,123,50,129,5,84,77,67,76,5,77,98,387,15,71,113,52,8,47,39,114,85,120,126,113,176,45,47,19,13,5,18,11,13,31,60,61,123,113,89,132,241,70,167,25,12,90,14,94,152,41,22,96,6,22,36,38,25,58,104,NA
"19",19,554,55,251,25,46,66,31,95,128,145,59,110,103,77,137,71,36,116,60,183,8,109,37,58,60,1,52,182,366,16,42,16,65,12,68,16,130,154,145,120,93,174,27,26,15,3,6,26,12,6,21,53,82,108,115,74,70,144,23,123,39,6,55,14,120,150,35,21,64,19,46,29,33,18,38,110,NA
"20",20,525,82,197,80,46,13,27,91,105,152,58,72,117,57,124,59,10,175,28,109,37,86,25,34,53,2,66,179,290,14,41,26,108,8,49,15,82,73,146,87,75,96,24,19,3,5,4,62,6,7,16,42,50,126,108,64,98,124,10,137,20,10,64,15,56,140,22,16,33,19,19,30,13,29,24,82,NA
"21",21,289,59,70,35,29,10,17,40,52,117,35,53,114,26,91,34,11,112,32,81,20,71,15,52,32,1,47,123,153,9,18,14,78,9,50,7,44,26,132,57,86,52,16,4,3,9,7,23,6,0,9,27,25,77,63,33,55,65,9,93,8,8,48,6,61,115,20,10,32,4,2,14,11,51,13,108,NA
"22",22,212,47,59,41,25,6,16,36,26,98,22,70,76,23,78,35,6,299,31,102,29,62,20,32,24,0,51,72,151,39,15,12,87,2,33,9,25,14,106,16,69,47,10,2,1,3,14,19,6,0,8,19,19,57,38,20,65,46,5,68,2,3,34,12,52,143,47,9,32,5,21,26,22,65,24,93,NA
